id,x,y,year,type,east_west,neighbourhood,district,node_label
19611008,13.478028581044718,52.50179539105723,1961,bus,east,Rummelsburg,Lichtenberg,S-Bhf. Rummelsburg
1961131,13.499591119128855,52.5112875601879,1961,bus,east,Rummelsburg,Lichtenberg,Bhf. Lichtenberg
1961109,13.499373630980266,52.52004640241046,1961,bus,east,Lichtenberg,Lichtenberg,Bf. Siegfriedstrasse
1961964,13.479662353432392,52.52671388514014,1961,bus,east,Fennpfuhl,Lichtenberg,Roederplatz
1961902,13.463289228834057,52.519874079766325,1961,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Proskauer Ecke Dolziger Strasse
1961298,13.450799684654514,52.52722237261361,1961,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Ebertystrasse Ecke Leninallee
1961422,13.433017500945247,52.5362177572407,1961,bus,east,Prenzlauer Berg,Pankow,Greifswalderstrasse Ecke Dimitroffstrasse
1961609,13.412126746747086,52.51798604342281,1961,bus,east,Mitte,Mitte,Klosterstrasse
1961284,13.447645022319072,52.52644398829154,1961,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Dimitroffstrasse Ecke Leninallee
19611114,13.4614989,52.530493,1961,bus,east,Prenzlauer Berg,Pankow,Steuerhaus
19611283,13.476252837088406,52.53305919668049,1961,bus,east,Fennpfuhl,Lichtenberg,WeiÃŸenseer Weg
1961389,13.497014225567375,52.53419051284018,1961,bus,east,Lichtenberg,Lichtenberg,Genslerstrasse Ecke Siegfriedstrasse
1961285,13.522058626010088,52.53587676296107,1961,bus,east,Marzahn,Marzahn-Hellersdorf,DingelstÃ¤dter Strasse
1961770,13.53943029431785,52.53978688562053,1961,bus,east,Marzahn,Marzahn-Hellersdorf,Marzahner Chaussee
196125,13.564061751343658,52.542423454435976,1961,bus,east,Marzahn,Marzahn-Hellersdorf,"Alt-Marzahn, Kirche"
1961312,13.55949915809485,52.53409533705918,1961,bus,east,Marzahn,Marzahn-Hellersdorf,Elisabethstrasse
1961987,13.555387279249894,52.513432593832405,1961,bus,east,Biesdorf,Marzahn-Hellersdorf,S-Bhf. Biesdorf
19611107,13.440640767102789,52.51715128685504,1961,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Stalinallee
1961691,13.433594583798834,52.523238998562235,1961,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Leninplatz
1961895,13.415809370320808,52.52709114016772,1961,bus,east,Mitte,Mitte,Prenzlauer Tor
1961970,13.401428926082492,52.5296729549826,1961,bus,east,Mitte,Mitte,Rosenthaler Platz
1961989,13.625536519339297,52.45731046148184,1961,bus,east,Friedrichshagen,Treptow-Köpenick,S-Bhf. Friedrichshagen
19611057,13.68835638892532,52.470798548586494,1961,bus,east,nan,nan,"SchÃ¶neiche, Goethepark"
1961291,13.70053232372426,52.47886105131975,1961,bus,east,nan,nan,Dorfaue
1961980,13.77362632033625,52.474663106849825,1961,bus,east,nan,nan,"RÃ¼dersdorf, ThÃ¤lmannstrasse"
1961875,13.786537970773646,52.47029587176764,1961,bus,east,nan,nan,Post
1961979,13.791633300477105,52.468598623083736,1961,bus,east,nan,nan,"RÃ¼dersdorf, Karl-Marx-Platz"
1961408,13.725374316281378,52.455522709275314,1961,bus,east,nan,nan,Goethestrasse
1961306,13.730601143973864,52.45563928691219,1961,bus,east,nan,nan,Eichendamm
1961699,13.734268401558374,52.45518873071384,1961,bus,east,nan,nan,Lerchenstrasse
1961339,13.744604216761394,52.452960838046685,1961,bus,east,nan,nan,Fasanenstrasse
19611167,13.752260000383929,52.45066904252597,1961,bus,east,nan,nan,ThÃ¤lmannplatz
1961190,13.759715132008731,52.44932599725309,1961,bus,east,nan,nan,Blumenstrasse
19611333,13.764524016423056,52.4427723984596,1961,bus,east,nan,nan,Woltersdorfer Schleuse
196129,13.649399886968025,52.37536708814027,1961,bus,east,Schmöckwitz,Treptow-Köpenick,Alt-SchmÃ¶ckwitz
1961310,13.62680242919348,52.372634587228696,1961,bus,east,nan,nan,"Eichwalde, Uhlandstrasse"
1961115,13.614447144096058,52.371950560017005,1961,bus,east,nan,nan,Bhf. Eichwalde
19611258,13.496540075011389,52.41568773699451,1961,bus,west,Rudow,Neukölln,Walterdorfer Chaussee (Spinne)
1961398,13.436212574873101,52.34362622314638,1961,bus,east,nan,nan,Glasow
1961139,13.408712381285893,52.36020392986998,1961,bus,east,nan,nan,Bhf. Mahlow
1961163,13.300037338373293,52.38887329700411,1961,bus,east,nan,nan,Bhf. Teltow
1961247,13.243358010546082,52.39701454468935,1961,bus,east,nan,nan,Carl-von-Ossietzky-Werk
19611106,13.210302944499475,52.39345447478086,1961,bus,east,nan,nan,"Stahnsdorf, WaldschÃ¤nke"
1961113,13.122280120317033,52.383210942095026,1961,bus,east,nan,nan,Bhf. Drewitz
1961726,13.089836574530883,52.39011694014624,1961,bus,east,nan,nan,Lutherplatz
1961878,13.05866306072075,52.40184658729142,1961,bus,east,nan,nan,"Potsdam, Bassinplatz"
1961945,13.64006281458021,52.37807918338377,1961,bus,east,Schmöckwitz,Treptow-Köpenick,Reifenwerk
1961620,13.698441127852544,52.36448396303661,1961,bus,east,nan,nan,Konsum Wernsdorf
1961621,13.671672670712805,52.353014165379946,1961,bus,east,nan,nan,Konsum Ziegenhals
19611347,13.664196000865504,52.3470916280972,1961,bus,east,nan,nan,"Ziegenhals, VA Dienststelle"
1961597,13.147961938847912,52.45151498638808,1961,FÃ¤hre,west,Kladow,Spandau,Kladow
19611262,13.175815964118582,52.421928022812146,1961,FÃ¤hre,west,Wannsee,Steglitz-Zehlendorf,Wannsee
1964878,13.43550619008533,52.509107635417394,1964,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,Ostbahnhof
19641312,13.432938339097822,52.51808306742478,1964,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,U-Bhf. Strausberger Platz
1964704,13.4326457,52.5232658,1964,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,Leninplatz
196414,13.4110773,52.5233439,1964,strassenbahn,east,Mitte,Mitte,"Alexanderplatz, Memhardstr."
19641024,13.4016121,52.5301769,1964,strassenbahn,east,Mitte,Mitte,Rosenthaler Platz
1964554,13.3827302,52.5304158,1964,strassenbahn,east,Mitte,Mitte,Invalidenstrasse Ecke Chausseestrasse
1964864,13.3872745,52.5256031,1964,strassenbahn,east,Mitte,Mitte,Oranienburger Tor
1964451,13.387046759579254,52.52716496126181,1964,strassenbahn,east,Mitte,Mitte,Hannoversche Strasse
19641,13.42221404498021,52.50548699996121,1964,bus,east,Mitte,Mitte,Adalbertstrasse
19641053,13.41796028027267,52.514865856141625,1964,bus,east,Mitte,Mitte,S-Bhf. JannowitzbrÃ¼cke
196411,13.41408418961877,52.52008326268696,1964,bus,east,Mitte,Mitte,"Alexanderplatz, Grunerstrasse"
19641075,13.450955555556,52.506416666667,1964,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,S-Bhf. Warschauer Strasse
1964629,13.4526258,52.5105842,1964,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,Kopernikusstrasse
1964526,13.465969,52.5088235,1964,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,Holteistrasse Ecke Boxhagenerstrasse
