source,target,label,type,year,frequency,east_west,capacity,distance,edge_type
1946611,194699,3,strassenbahn,1946,10,both/unkown,195,0.017315525650391926,strassenbahn
1946611,194699,62,strassenbahn,1946,15,unkown,195,0.017315525650391926,strassenbahn
1946611,1946608,62,strassenbahn,1946,15,unkown,195,0.7413489395851234,strassenbahn
1946611,1946609,75,strassenbahn,1946,15,unkown,195,0.7420649393561882,strassenbahn
1946611,1946211,75,strassenbahn,1946,15,unkown,195,1.247254401861677,strassenbahn
194699,1946147,3,strassenbahn,1946,10,both/unkown,195,1.1933140707657988,strassenbahn
194699,1946147,62,strassenbahn,1946,15,unkown,195,1.1933140707657988,strassenbahn
1946147,194645,3,strassenbahn,1946,10,both/unkown,195,1.1732758845583813,strassenbahn
1946147,1946238,62,strassenbahn,1946,15,unkown,195,0.9438638087477075,strassenbahn
194645,194635,3,strassenbahn,1946,10,both/unkown,195,0.630830152581529,strassenbahn
194635,1946199,3,strassenbahn,1946,10,both/unkown,195,0.33672473376373746,strassenbahn
1946199,1946186,3,strassenbahn,1946,10,both/unkown,195,0.5643428825057024,strassenbahn
1946186,1946612,3,strassenbahn,1946,10,both/unkown,195,0.5550474779016473,strassenbahn
1946612,1946390,3,strassenbahn,1946,10,both/unkown,195,0.390542701103992,strassenbahn
1946390,1946391,3,strassenbahn,1946,10,both/unkown,195,0.007899195274693235,strassenbahn
1946391,1946185,3,strassenbahn,1946,10,both/unkown,195,0.19491541972438733,strassenbahn
1946185,1946624,3,strassenbahn,1946,10,both/unkown,195,1.622476632241028,strassenbahn
1946624,1946625,3,strassenbahn,1946,10,both/unkown,195,0.006659529844504769,strassenbahn
1946625,1946183,3,strassenbahn,1946,10,both/unkown,195,0.621178828094941,strassenbahn
1946183,1946175,3,strassenbahn,1946,10,both/unkown,195,0.8025706626094478,strassenbahn
1946567,1946562,D,bus,1946,12,both/unkown,100,1.7599692837918166,bus
1946562,1946582,D,bus,1946,12,both/unkown,100,1.237862533327183,bus
1946582,194687,D,bus,1946,12,both/unkown,100,1.1636162027976606,bus
194687,1946274,D,bus,1946,12,both/unkown,100,0.8165328262717234,bus
1946274,1946570,D,bus,1946,12,both/unkown,100,0.9890139014885861,bus
1946570,1946332,D,bus,1946,12,both/unkown,100,2.1104079110888527,bus
1946332,19461,D,bus,1946,12,both/unkown,100,0.6324063246187939,bus
19461,1946130,D,bus,1946,12,both/unkown,100,0.932096953081269,bus
19467,194610,H,bus,1946,15,both/unkown,100,1.5960367396671022,bus
194610,194666,H,bus,1946,15,both/unkown,100,0.8092702762234335,bus
194666,1946181,H,bus,1946,15,both/unkown,100,0.8827092134342917,bus
1946181,1946331,H,bus,1946,15,both/unkown,100,0.9337072633356901,bus
1946331,194627,H,bus,1946,15,both/unkown,100,0.18081527884827298,bus
194627,1946248,H,bus,1946,15,both/unkown,100,2.1857048204765355,bus
1946248,1946247,H,bus,1946,15,both/unkown,100,1.9823904187037145,bus
1946106,1946402,24,strassenbahn,1946,15,unkown,195,5.155630174649707,strassenbahn
1946106,1946402,49,strassenbahn,1946,15,unkown,195,5.155630174649707,strassenbahn
1946402,194677,24,strassenbahn,1946,15,unkown,195,0.049732506324183245,strassenbahn
1946402,1946394,49,strassenbahn,1946,15,unkown,195,0.678286588561078,strassenbahn
194677,1946394,24,strassenbahn,1946,15,unkown,195,0.6302171390699077,strassenbahn
1946394,1946100,24,strassenbahn,1946,15,unkown,195,0.863452584854472,strassenbahn
1946394,1946100,49,strassenbahn,1946,15,unkown,195,0.863452584854472,strassenbahn
1946100,1946622,24,strassenbahn,1946,15,unkown,195,0.6268476860353696,strassenbahn
1946100,1946392,47,strassenbahn,1946,10,unkown,195,0.47451611769071234,strassenbahn
1946100,194648,47,strassenbahn,1946,10,unkown,195,1.3740305898398404,strassenbahn
1946100,194648,49,strassenbahn,1946,15,unkown,195,1.3740305898398404,strassenbahn
1946428,194623,24,strassenbahn,1946,15,unkown,195,0.43322967135325535,strassenbahn
194623,1946104,24,strassenbahn,1946,15,unkown,195,0.6181264116478721,strassenbahn
194623,1946104,199,strassenbahn,1946,10,unkown,195,0.6181264116478721,strassenbahn
1946104,1946432,24,strassenbahn,1946,15,unkown,195,0.16173021617191902,strassenbahn
1946104,1946432,41,strassenbahn,1946,15,unkown,195,0.16173021617191902,strassenbahn
1946104,1946432,141,strassenbahn,1946,15,unkown,195,0.16173021617191902,strassenbahn
1946104,1946432,199,strassenbahn,1946,10,unkown,195,0.16173021617191902,strassenbahn
1946104,194624,28,strassenbahn,1946,30,unkown,195,0.6221607523346934,strassenbahn
1946104,194624,128,strassenbahn,1946,30,unkown,195,0.6221607523346934,strassenbahn
1946104,194624,41,strassenbahn,1946,15,unkown,195,0.6221607523346934,strassenbahn
1946104,194624,141,strassenbahn,1946,15,unkown,195,0.6221607523346934,strassenbahn
1946104,1946103,28,strassenbahn,1946,30,unkown,195,1.8864271737385074,strassenbahn
1946104,1946103,128,strassenbahn,1946,30,unkown,195,1.8864271737385074,strassenbahn
1946432,1946103,28,strassenbahn,1946,30,unkown,195,1.7263008095091399,strassenbahn
1946432,1946103,128,strassenbahn,1946,30,unkown,195,1.7263008095091399,strassenbahn
1946545,194650,25,strassenbahn,1946,15,unkown,195,1.6965133157509893,strassenbahn
1946545,194650,41,strassenbahn,1946,15,unkown,195,1.6965133157509893,strassenbahn
194650,1946445,25,strassenbahn,1946,15,unkown,195,1.4951658989587537,strassenbahn
194650,1946445,28,strassenbahn,1946,30,unkown,195,1.4951658989587537,strassenbahn
194650,1946445,128,strassenbahn,1946,30,unkown,195,1.4951658989587537,strassenbahn
194650,1946445,41,strassenbahn,1946,15,unkown,195,1.4951658989587537,strassenbahn
194650,1946546,28,strassenbahn,1946,30,unkown,195,2.164077424989984,strassenbahn
194650,1946546,128,strassenbahn,1946,30,unkown,195,2.164077424989984,strassenbahn
1946445,1946468,25,strassenbahn,1946,15,unkown,195,1.1568439860426476,strassenbahn
1946445,1946468,28,strassenbahn,1946,30,unkown,195,1.1568439860426476,strassenbahn
1946445,1946468,128,strassenbahn,1946,30,unkown,195,1.1568439860426476,strassenbahn
1946445,1946447,41,strassenbahn,1946,15,unkown,195,1.1541204077408689,strassenbahn
1946468,1946356,25,strassenbahn,1946,15,unkown,195,0.7117517814698036,strassenbahn
1946468,1946356,28,strassenbahn,1946,30,unkown,195,0.7117517814698036,strassenbahn
1946468,1946356,128,strassenbahn,1946,30,unkown,195,0.7117517814698036,strassenbahn
1946356,1946357,25,strassenbahn,1946,15,unkown,195,1.5112299244918301,strassenbahn
1946356,1946357,28,strassenbahn,1946,30,unkown,195,1.5112299244918301,strassenbahn
1946356,1946357,128,strassenbahn,1946,30,unkown,195,1.5112299244918301,strassenbahn
1946356,1946357,68,strassenbahn,1946,7,unkown,195,1.5112299244918301,strassenbahn
1946356,194646,68,strassenbahn,1946,7,unkown,195,0.7117991171225335,strassenbahn
1946357,1946558,25,strassenbahn,1946,15,unkown,195,0.30286538775468347,strassenbahn
1946357,1946558,68,strassenbahn,1946,7,unkown,195,0.30286538775468347,strassenbahn
1946357,1946253,28,strassenbahn,1946,30,unkown,195,1.0729068750070376,strassenbahn
1946357,1946253,128,strassenbahn,1946,30,unkown,195,1.0729068750070376,strassenbahn
1946351,1946352,27,bus,1946,20,unkown,100,2.9376256712724027,bus
1946352,1946294,27,bus,1946,20,unkown,100,2.9641124219726427,bus
1946107,1946110,27,strassenbahn,1946,10,both/unkown,195,0.958562462418638,strassenbahn
1946110,1946124,27,strassenbahn,1946,10,both/unkown,195,1.343644899586826,strassenbahn
1946124,1946122,27,strassenbahn,1946,10,both/unkown,195,1.0060568671669887,strassenbahn
1946122,1946227,27,strassenbahn,1946,10,both/unkown,195,1.399894829021367,strassenbahn
1946227,194664,27,strassenbahn,1946,10,both/unkown,195,0.3602151870528218,strassenbahn
194664,1946228,27,strassenbahn,1946,10,both/unkown,195,0.6528019212605746,strassenbahn
1946228,1946366,27,strassenbahn,1946,10,both/unkown,195,0.0630241996907546,strassenbahn
1946550,1946126,28,strassenbahn,1946,30,unkown,195,1.926306458760906,strassenbahn
1946126,1946548,28,strassenbahn,1946,30,unkown,195,1.4192186052459654,strassenbahn
1946548,1946127,28,strassenbahn,1946,30,unkown,195,1.5722952941877186,strassenbahn
1946548,1946275,128,strassenbahn,1946,30,unkown,195,0.9483611482813978,strassenbahn
1946548,1946115,128,strassenbahn,1946,30,unkown,195,1.5666049796079438,strassenbahn
1946127,1946546,28,strassenbahn,1946,30,unkown,195,0.5930564105756052,strassenbahn
1946546,1946115,128,strassenbahn,1946,30,unkown,195,0.6019012021859236,strassenbahn
1946253,1946146,28,strassenbahn,1946,30,unkown,195,0.7766638483643754,strassenbahn
1946253,1946146,128,strassenbahn,1946,30,unkown,195,0.7766638483643754,strassenbahn
1946146,194625,28,strassenbahn,1946,30,unkown,195,0.920208878258755,strassenbahn
